,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Du_1,Du_2,Du_3,Du_4,Du_5,Du_6,Du_7,Du_8,Du_9,Du_10,En_1,En_2,En_3,En_4,En_5,En_6,En_7,En_8,En_9,En_10,Fi_1,Fi_2,Fi_3,Fi_4,Fi_5,Fi_6,Fi_7,Fi_8,Fi_9,Fi_10,Fr_1,Fr_2,Fr_3,Fr_4,Fr_5,Fr_6,Fr_7,Fr_8,Fr_9,Fr_10,It_1,It_2,It_3,It_4,It_5,It_6,It_7,It_8,It_9,It_10,Po_1,Po_2,Po_3,Po_4,Po_5,Po_6,Po_7,Po_8,Po_9,Po_10,Sp_1,Sp_2,Sp_3,Sp_4,Sp_5,Sp_6,Sp_7,Sp_8,Sp_9,Sp_10
Ch_1,0.0,0.00012071478937384858,0.0001440989534301323,0.0001526504616352162,0.0001598229986095137,0.0001681075778349458,0.00016683309411736052,0.00016155324980789067,0.00016892107801985554,0.00017434844219329316,0.025384352181843938,0.02540631640108213,0.025302947643441463,0.025186284878328045,0.025218164776805115,0.025195311401544004,0.025251054171615286,0.02532585859809689,0.02537515019978815,0.02537509163851922,0.020701263099012664,0.02118825909269932,0.021397534871588988,0.021270659409498502,0.021489909114100605,0.021626015407823426,0.021589311948996086,0.02160616363908844,0.0215157292075168,0.02150843979059649,0.023210731931780824,0.022880949441938123,0.02274654160916296,0.023108563641550964,0.022953236457461834,0.022870707297198686,0.02302763570509759,0.023108934590671835,0.02308757349052802,0.022927688110968278,0.02112840950244331,0.020507573439913808,0.02096444811306819,0.02093753301339485,0.020894531631827154,0.02091914528596979,0.02093110711114008,0.02094570276568353,0.02095642120750569,0.021043789822274915,0.03402077342848588,0.03429347579290362,0.03391354126153219,0.03385813802688375,0.03396440844780727,0.03375765436380628,0.03386820284595998,0.03382662183296971,0.03381098915834101,0.033819874909752926,0.016936921538876874,0.017334641791986148,0.017758745318160685,0.017751759403076182,0.01798326020792769,0.018163696627961346,0.018173182711629224,0.018122879865212667,0.018204323682532976,0.018231321193112097,0.04517768965021551,0.044318498803062906,0.04451902641428983,0.04503570708722623,0.04497331770183596,0.044595039775450346,0.0446180033541944,0.0444982912685826,0.04447629972612634,0.0443849219461009
Ch_2,0.00012071478937384858,0.0,5.1830254201160335e-05,7.203331653831796e-05,7.780429214498948e-05,8.210395300151942e-05,8.64950269097284e-05,9.597501797653163e-05,0.00010472938505535942,0.0001076612970561401,0.025181593569990612,0.02520295065849005,0.025109921629890612,0.024975333904832156,0.024999015008341743,0.02498540904800684,0.025025439262288608,0.025108156606100593,0.025162943297875426,0.025161867058429363,0.020292079699658024,0.020774571012898545,0.02096073679222788,0.02082994886487081,0.021035847909180214,0.021172135988375772,0.021131333416690608,0.021151382162952922,0.021064193157559516,0.02106029701625703,0.022765547941213868,0.02246584953516221,0.02234223003207917,0.0227067486897385,0.022550698969591276,0.022474534160106842,0.022626044786266446,0.022708421173459836,0.02268469323184722,0.022525415068908865,0.020765805089951277,0.020158340236322018,0.020613533449634402,0.020567433136527473,0.020524228806064096,0.0205506708811307,0.020565443162313443,0.020571028052091257,0.020583133732227928,0.020666377255133105,0.03367397373926636,0.03393526880054673,0.03355886752385374,0.03350221895047717,0.03361590437888018,0.03340550717779153,0.03351411512393532,0.03346562169327719,0.03345083644900195,0.03345756102183721,0.01684922748286371,0.01721169748713451,0.017617373638166192,0.017608964570514588,0.0178316419383531,0.01801326659925691,0.01801961511691491,0.017964100632295393,0.018044026787729935,0.01807513934697908,0.04494212479752861,0.044063277024417424,0.04429078420759058,0.04481515005235211,0.04476214889608919,0.0443834111028321,0.04440376138609191,0.044287659521889705,0.04426428052723849,0.04417210644545562
Ch_3,0.0001440989534301323,5.1830254201160335e-05,0.0,2.855336763673497e-05,3.82661537457129e-05,4.526453154589968e-05,5.050487354553313e-05,5.165885295542234e-05,6.226749334831812e-05,6.634274757245587e-05,0.02479420104835548,0.024807546460718408,0.024696397318809495,0.024569950539515394,0.02459710076562685,0.024578291018420247,0.024620651475411114,0.024703365458755403,0.02475579142291349,0.024758837869275435,0.01988809245483153,0.02037626617034881,0.020570398836965022,0.02044525629360898,0.02064327143051354,0.02077460873176245,0.020730669591038864,0.020745342241406426,0.020657266380469965,0.02065550212601975,0.022342163231798384,0.022049515765920635,0.021907702618391388,0.0222670402575148,0.0221099818868624,0.022028458382945454,0.022178551747340153,0.022261770047905735,0.02223726378727183,0.02207809412654977,0.020406502111000223,0.019804169289695125,0.02023454257531388,0.020206265911435272,0.020172787442060712,0.02020282175203881,0.020214729926412257,0.020218921302450343,0.02022809790500231,0.02031053228475585,0.03312623024759466,0.03338163400310547,0.03300817954712145,0.03296296724254684,0.03307916000710859,0.03287138471419851,0.03297242548955043,0.032928366418713516,0.032914981017024406,0.032920319556737195,0.016544346534057466,0.01690863005083442,0.01730139569960533,0.01727574570974609,0.01749541850357019,0.017669904228192417,0.017672767837840848,0.01762043574539955,0.017705007205130845,0.017735885044193822,0.04438800869394051,0.043512978063151395,0.04373025730614818,0.044251630507402856,0.044195549177954846,0.043810586248436034,0.04383188329172148,0.043709114286886994,0.04368161038834989,0.0435901086690272
Ch_4,0.0001526504616352162,7.203331653831796e-05,2.855336763673497e-05,0.0,1.762588741108681e-05,3.0160015179685196e-05,4.417374544446824e-05,4.5096404805202464e-05,5.4379383675909486e-05,6.0215016767185044e-05,0.024888666594543113,0.02490967453635088,0.024809037036029123,0.024690108087495312,0.024723276423686512,0.024702162591788365,0.024742703359524616,0.024821601436110466,0.024871491301305046,0.024874163613936538,0.01970003936924937,0.020189952822860464,0.020376820520349753,0.0202496065697431,0.020446047537602,0.020577229301653913,0.020532273318000026,0.020547863357838963,0.020460760567323426,0.020456664843863756,0.022116866724678354,0.02183339730788305,0.021693210874183237,0.022044507954315375,0.02189457810978797,0.02180923856686274,0.021954631954601803,0.022037391762485106,0.022010534264780383,0.021854452869459917,0.02035690012524289,0.019760034587037283,0.020186691648118586,0.020153494749695612,0.02012687275975921,0.02015174454414807,0.020160577780054804,0.020161347120923802,0.020171580983773064,0.020257056123737353,0.03281988271135115,0.03307754172818618,0.032699863776462765,0.032653027118725524,0.032768311532991506,0.03255926660867133,0.03266202481095974,0.03261471786798002,0.03260112992199568,0.03260885258976769,0.0165557954300347,0.016921524025064742,0.017320998622069147,0.017298150668726565,0.01751845462721617,0.017692722549872066,0.017696948110636327,0.01764512918622482,0.017731290191797304,0.017764326622493207,0.0440062554177523,0.04314845560968532,0.043372714508905424,0.04388527086342105,0.04382626189138414,0.04344365625238249,0.04346526066024751,0.04334183943046449,0.04331448764970523,0.04322362604931963
Ch_5,0.0001598229986095137,7.780429214498948e-05,3.82661537457129e-05,1.762588741108681e-05,0.0,1.7578869184352944e-05,2.9141136063134956e-05,3.3569623759414064e-05,3.916369377335147e-05,4.2884656036420146e-05,0.02517210703621188,0.025189247848881675,0.02508723606503531,0.02496841758688722,0.025004143147153,0.024983475319299894,0.025025102431601227,0.025106690002691546,0.025154628241853865,0.025156934315157205,0.01997223849661805,0.02044839464956901,0.020631134929729705,0.020506522090265555,0.020703384017499743,0.02083545137792718,0.020789947664981354,0.020807145827992167,0.02072099588294911,0.02071633962886211,0.022385913144424403,0.0221159565676805,0.02198115626260068,0.022331176254528705,0.02217602210828059,0.022094718754615644,0.022239139030096694,0.02232309184502471,0.022297326529768107,0.022136209186494414,0.020611282344514738,0.019991933900338578,0.02041895169911705,0.020387721317978676,0.020356687084477392,0.020384200044280605,0.020392130401308394,0.02039514153858011,0.020404509218619103,0.020487155498035134,0.03312631432830405,0.03338516153318557,0.03300572739744192,0.032960168811550256,0.03307638506557015,0.03287184485204306,0.03297266364661932,0.03292769022139395,0.0329097142899297,0.032917455189916914,0.01681597361607113,0.017170571545544303,0.017567470127028625,0.017548802036775786,0.01777327768361291,0.01795472117580116,0.01796145777687772,0.017907491499402635,0.017993133260740795,0.0180267964458532,0.044421676362857085,0.04356241927677601,0.04377212389064409,0.044290878885149744,0.04422992118056829,0.04384644170492623,0.04386370231309365,0.043737691573248624,0.043710320510726174,0.0436189094854736
Ch_6,0.0001681075778349458,8.210395300151942e-05,4.526453154589968e-05,3.0160015179685196e-05,1.7578869184352944e-05,0.0,1.0081472057039712e-05,1.665567469964155e-05,2.301543394308977e-05,2.5253686916608742e-05,0.025100349316800948,0.0251173366596995,0.02500815751138373,0.024885835509754414,0.02491924496029221,0.02490150067805556,0.02494311201275594,0.02502524005759081,0.025074115419863072,0.02507698239779143,0.01999544299123307,0.02046655905178189,0.02064849452857132,0.020522342547594212,0.020714711455262807,0.0208428229562841,0.020796658618792763,0.020813378162255158,0.02072555863489728,0.02072303565800412,0.022491823543712458,0.022221389275727768,0.022090468631109868,0.02243923887333893,0.02228445805437101,0.022201129972311287,0.022343495869094704,0.02242976028690989,0.022403703981592044,0.022242732542656584,0.020569554381007445,0.01993766071865813,0.0203554418449699,0.020322953178426494,0.020291434561293897,0.0203131469094514,0.02031857463730396,0.020323710090014893,0.020333941999611513,0.020414493366137047,0.033107416952601366,0.03337455845767,0.03300322239633147,0.0329538327413581,0.03307142636306068,0.03286580156187626,0.03296602856066598,0.03291988279418237,0.032902224547943656,0.03290822594517477,0.01687416084295159,0.017235221535890702,0.017631687565824696,0.01761429631424234,0.01784011580507837,0.018021552170751652,0.018024984619839847,0.017972479478357117,0.01805882873738513,0.01809223226029847,0.04442094925968097,0.0435846977038656,0.04378944255496166,0.04430802312752323,0.04423959439831027,0.043859441331524016,0.04387302815106198,0.04374756577093588,0.043722191541909414,0.043629298926131425
Ch_7,0.00016683309411736052,8.64950269097284e-05,5.050487354553313e-05,4.417374544446824e-05,2.9141136063134956e-05,1.0081472057039712e-05,0.0,7.983489923607415e-06,1.2510762252143367e-05,1.5182509141217796e-05,0.025182937246178587,0.025204268562514447,0.025093113757649985,0.024971730634934904,0.025010108501978354,0.02499343624619959,0.02503565302473352,0.02512229018873985,0.02517198845722393,0.02517607668142651,0.02013244321447845,0.020603581732114733,0.020784863945983376,0.020658742707023038,0.020851211177235447,0.020978026160615264,0.02093203418319234,0.02094791943656327,0.0208600999309035,0.0208594419175602,0.022600753606812636,0.022324819198528516,0.022193215307669333,0.022536633353651907,0.022382322274758275,0.02229784821383826,0.02244315460986914,0.02253067263133646,0.02250518144344927,0.022342422351761836,0.02064771625238867,0.020012636552682074,0.02042388293100149,0.020394600624671255,0.020362436329430716,0.020384751676209185,0.02039147234629269,0.0203976769929781,0.020406728190829747,0.02048606695718562,0.033219354756098884,0.033488034400992434,0.03312224292095205,0.033071825458735125,0.033192161492533775,0.03298559185269993,0.03308602310285427,0.03304055089855966,0.03302276998653262,0.03302797155254658,0.01696068214337504,0.017323267196659525,0.017719104793543453,0.01769296154125795,0.01791719426978159,0.018099733358817365,0.01810032649302084,0.018047273057584926,0.018137343486827807,0.018168141443038233,0.044511390274367645,0.04367684752742351,0.043879853344572964,0.04440225813886577,0.044332692610885044,0.04395669530795705,0.043971435302441755,0.043845657773760455,0.04381918415905581,0.043726399219215985
Ch_8,0.00016155324980789067,9.597501797653163e-05,5.165885295542234e-05,4.5096404805202464e-05,3.3569623759414064e-05,1.665567469964155e-05,7.983489923607415e-06,0.0,5.9103726756602896e-06,8.426068788508163e-06,0.025128023569960075,0.02514384014244527,0.025033674733911482,0.02491684535765306,0.024958045273698284,0.024940360720936063,0.024983938536468048,0.02506876183774655,0.025118036095888203,0.02512204016313472,0.020070282112222552,0.02054455997985004,0.020732899529637625,0.02060770874265645,0.020800040308064087,0.02092759068759766,0.020882923012713557,0.020898897104080764,0.020812344596227394,0.020810691646224788,0.022547734400076347,0.022264514400765947,0.022136470468914753,0.02247830927853345,0.02232381689580647,0.02224022985335923,0.022385221276778215,0.02247230941684765,0.02244879121733351,0.02228635890061865,0.020630923406842715,0.019990434473410354,0.0204034472932943,0.020374035104159964,0.02034700849009039,0.020369902559665927,0.02037903774336702,0.020386026974572043,0.02039671201409128,0.02047618428002685,0.033171885619732354,0.03343595872050178,0.033067398519035396,0.03301854125649287,0.03313817334204177,0.03293264788914178,0.033032669638923,0.0329882307356748,0.032971522463247034,0.032978104975521255,0.016872506667933006,0.017241015681919526,0.017641511931868754,0.017614289806705923,0.017838506954761805,0.01801861999147747,0.018020007237691538,0.017968047276235702,0.01805663822619634,0.018087136959271062,0.044391565677326675,0.04355052616756594,0.04374821899641525,0.04426498854073785,0.04419429979768878,0.043817619824023026,0.04383267708964535,0.04370616148187198,0.04367943037867356,0.04358494504178459
Ch_9,0.00016892107801985554,0.00010472938505535942,6.226749334831812e-05,5.4379383675909486e-05,3.916369377335147e-05,2.301543394308977e-05,1.2510762252143367e-05,5.9103726756602896e-06,0.0,3.787181868724514e-06,0.025308661928673135,0.025323032003036115,0.025213060648465523,0.025095675139840137,0.02513692414995546,0.025118938536609396,0.025165190544482498,0.025250998045525948,0.02530051317255439,0.025304243000033817,0.020190461310360976,0.020666897126832895,0.020859095160016064,0.020734765915454235,0.020926111044992778,0.021054902281614326,0.02100997046429997,0.02102633647022196,0.020940113646173084,0.020937447169241313,0.02266822538982414,0.022393782719516815,0.022266589048825454,0.02260485867511149,0.022448045334233717,0.022365832221303058,0.02250912744240307,0.02259821015978532,0.022576351522919112,0.022413600926501187,0.020720677777922636,0.02007990559925766,0.02049045193702731,0.020461653983357753,0.020434097492888575,0.02045574004337469,0.020464519214334603,0.020472378242405775,0.020482118483797208,0.020561128963674714,0.03325860090387843,0.033522943438849574,0.03315755538904373,0.03310849372133582,0.03322896324819265,0.03302399873613568,0.033121996071090766,0.03307693417228471,0.033060210162881354,0.03306728713762022,0.01700897108427263,0.017383415608531717,0.017785825074410865,0.017754818906702642,0.017980183640776526,0.018162370705497196,0.01816566577500108,0.018113997220112848,0.018202014111281584,0.018233148421271064,0.04457066743017177,0.04373215191542506,0.0439249652932503,0.04444253209715457,0.044371991919111675,0.04399367154894016,0.04400865165860239,0.04388197036990679,0.043855912081362455,0.04376113669103478
Ch_10,0.00017434844219329316,0.0001076612970561401,6.634274757245587e-05,6.0215016767185044e-05,4.2884656036420146e-05,2.5253686916608742e-05,1.5182509141217796e-05,8.426068788508163e-06,3.787181868724514e-06,0.0,0.025332329299797222,0.025350966480474618,0.025238161135508766,0.02512119506646798,0.02516160388959071,0.025145681193952163,0.02519014452346222,0.025275620911249738,0.025326245275802566,0.02532962750013352,0.020186655678363294,0.0206678884990421,0.020859438263396854,0.020733447704081937,0.020924738120025488,0.02105388431611426,0.021009499950264784,0.02102470094548007,0.020939617065454302,0.020937034424187012,0.022697261562774206,0.02242407335763888,0.022297153721623865,0.02263474312494245,0.02247926289518258,0.022397548358618465,0.022541003514102098,0.02262944891260377,0.022607271609557025,0.022443620877186897,0.02075975845647581,0.020108847280422087,0.020519294550047307,0.020487274292815445,0.020459273436189175,0.02048236506235474,0.0204910468272147,0.020498512732107003,0.020510328157575856,0.020590310801394944,0.033292485620636234,0.03355767349258576,0.03318915604815541,0.033141360211138865,0.03326116417611416,0.033055118180885225,0.033152168443581854,0.03310737998996319,0.03309095357236546,0.033097801603155175,0.017047909839324138,0.017420747117446678,0.017825213938051962,0.01779719928140829,0.018024303140945802,0.018205952770135096,0.01820765880874403,0.018156150811065832,0.01824479037563604,0.018277252421461644,0.044613587676258434,0.04377856765574817,0.04397053914787003,0.04449076709190805,0.044418945667639494,0.044040026297509846,0.044053607083546206,0.043925732743868934,0.04390026251231195,0.043806131659117065
