,dim1,dim2,dim3,language
Ch_1,0.00013993771541842502,0.0183327138291171,0.013872159288691305,Chinese
Ch_2,0.0007467166532155318,0.016494570763396384,0.015612625031187394,Chinese
Ch_3,-0.00015686399443079328,0.017325143747108626,0.014099725676178888,Chinese
Ch_4,-0.00044952186801436235,0.01801112520140187,0.012966483613525231,Chinese
Ch_5,-0.00011562196731793209,0.01917954979655556,0.011625418130021293,Chinese
Ch_6,-0.00205300868551476,0.015190842761609187,0.016514844134688605,Chinese
Ch_7,0.0007932917583344442,0.017391683175337506,0.014324231744346508,Chinese
Ch_8,0.0017802931378856385,0.016535856361572242,0.015123287558164462,Chinese
Ch_9,-0.0032375093243551846,0.019430750152388154,0.011105988643598746,Chinese
Ch_10,0.0027135444552193588,0.01764735922370089,0.013844473469754905,Chinese
Du_1,-0.007757295344276546,-0.0011110265758320578,0.004398879397653754,Dutch
Du_2,-0.007064098471838006,-0.001876738637413893,0.005405287065258876,Dutch
Du_3,-0.007325049969884659,-0.00160782197906301,0.005460739537743037,Dutch
Du_4,-0.007057787512298923,-0.0018383813098652405,0.005747027286447482,Dutch
Du_5,-0.007042708432061695,-0.0018282894433288305,0.005876016578727966,Dutch
Du_6,-0.0078027872649336465,-0.0012842470606696322,0.005051131866009988,Dutch
Du_7,-0.0077204264195898965,-0.0012932769580941245,0.005210291102382431,Dutch
Du_8,-0.008345031253055009,-0.00032564686975836317,0.004261510534926972,Dutch
Du_9,-0.007667544969391165,-0.001462270325411295,0.0053007027659886,Dutch
Du_10,-0.008113539436074884,-0.0009520885745469207,0.004681902972552463,Dutch
En_1,0.0014985188962749621,0.0010350347986186812,-0.0018877470973850511,English
En_2,0.0012316893315126205,0.0010632728139701908,-0.002237325180528983,English
En_3,0.0021035873055027954,0.0007404344113363011,-0.001688559283857008,English
En_4,0.0012407842049651022,0.0010275125210281576,-0.002307284280753914,English
En_5,0.0018217605600921718,0.0007180431167313211,-0.001925019077476898,English
En_6,0.0011802214494985946,0.00071306654616189,-0.0023750130143083783,English
En_7,0.0013278832722346315,0.0006483306662231885,-0.0022445880713943627,English
En_8,0.001592136124963759,0.0005326497428125119,-0.002044671367117296,English
En_9,0.0015997267656948613,0.0006285201857012938,-0.002070967652029535,English
En_10,0.0013860050368110935,0.0006972465599410477,-0.0022235077229183736,English
Fi_1,0.0024200298843035303,-0.0011635277392844615,-0.003454734815296061,Finish
Fi_2,0.002179174374629751,-0.0012646196033761065,-0.0031727098445389363,Finish
Fi_3,0.0021625189093476918,-0.0012927412983020827,-0.003055952783846915,Finish
Fi_4,0.0021824335918585952,-0.0012705376799446776,-0.0033276820922625476,Finish
Fi_5,0.0022370294598670314,-0.0012433842961557234,-0.0032578669108648192,Finish
Fi_6,0.0022000212780028576,-0.0012650378406903096,-0.003211067879233257,Finish
