,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Du_1,Du_2,Du_3,Du_4,Du_5,Du_6,Du_7,Du_8,Du_9,Du_10,En_1,En_2,En_3,En_4,En_5,En_6,En_7,En_8,En_9,En_10,Fi_1,Fi_2,Fi_3,Fi_4,Fi_5,Fi_6,Fi_7,Fi_8,Fi_9,Fi_10,Fr_1,Fr_2,Fr_3,Fr_4,Fr_5,Fr_6,Fr_7,Fr_8,Fr_9,Fr_10,It_1,It_2,It_3,It_4,It_5,It_6,It_7,It_8,It_9,It_10,Po_1,Po_2,Po_3,Po_4,Po_5,Po_6,Po_7,Po_8,Po_9,Po_10,Sp_1,Sp_2,Sp_3,Sp_4,Sp_5,Sp_6,Sp_7,Sp_8,Sp_9,Sp_10
A1,9804,20074,29878,39838,49926,59665,69457,79227,89369,99165,2440,4798,7152,9527,11923,14341,16758,19262,21640,23872,3590,7360,10948,14525,18149,21759,25238,28907,32552,36176,2978,6023,9070,12060,14949,17970,20957,23913,26999,29908,2158,4184,6224,8330,10318,12364,14331,16358,18404,20414,3795,7739,11638,15522,19334,23147,26872,30835,34657,38427,4880,9753,14707,19675,24436,29295,34096,38915,43890,48770,2943,5976,8793,11660,14535,17548,20282,23233,26145,29037
A2,2156,4393,6538,8651,10764,12847,14978,17056,19198,21315,932,1890,2745,3674,4570,5487,6434,7407,8330,9229,1578,3128,4758,6435,8112,9620,11274,12859,14437,16023,577,1100,1633,2230,2805,3313,3905,4444,5014,5590,879,1750,2624,3508,4335,5136,5976,6840,7677,8519,875,1772,2677,3549,4411,5310,6180,7052,7947,8843,1737,3363,5011,6634,8224,9850,11488,13130,14801,16488,1201,2423,3627,4854,6062,7242,8395,9598,10855,12083
A3,1263,2637,3962,5371,6667,8064,9484,10780,12113,13393,5447,11019,16652,22114,27615,33209,38702,44366,49889,55492,5629,11278,16779,22483,28046,33773,39427,45100,50873,56474,6390,12711,19041,25346,31785,38116,44411,50729,57129,63532,271,541,820,1079,1358,1651,1923,2215,2515,2811,959,1878,2871,3760,4700,5680,6686,7579,8587,9581,3313,6563,9915,13250,16586,19916,23240,26556,29825,33218,2501,5152,7643,10267,12747,15351,17912,20353,22869,25431
A4,1176,2383,3592,4769,6003,7241,8448,9689,10962,12185,740,1504,2262,3007,3701,4429,5191,5896,6627,7426,864,1725,2548,3386,4253,5048,5891,6729,7521,8348,375,779,1207,1587,1989,2393,2799,3220,3620,4000,675,1338,2044,2739,3397,4127,4795,5474,6128,6823,815,1649,2529,3441,4272,5168,5995,6795,7663,8496,995,1997,2975,3945,4983,6008,7038,8041,9034,10020,653,1261,1895,2568,3212,3817,4453,5124,5799,6419
A5,1737,3485,5263,6982,8725,10506,12209,13956,15665,17365,3600,7257,10893,14550,18145,21817,25494,29190,32820,36442,4541,9032,13514,18005,22469,27088,31625,36103,40369,44907,1375,2813,4254,5659,7059,8488,9923,11297,12715,14108,917,1881,2797,3688,4592,5479,6354,7224,8149,9035,4244,8286,12523,16646,20750,25042,29256,33537,37727,41975,6520,12845,19172,25481,31743,37964,44217,50352,56490,62776,1106,2284,3403,4558,5703,6832,7920,9019,10099,11147
A6,1162,2344,3574,4766,6000,7112,8223,9393,10571,11756,1188,2359,3545,4737,5947,7157,8352,9615,10808,12079,1658,3367,5062,6721,8384,10090,11788,13506,15201,16880,1371,2833,4150,5595,6991,8350,9754,11110,12503,13792,957,1994,3026,4028,5087,6146,7150,8198,9192,10197,1389,2776,4196,5577,6882,8201,9555,10944,12304,13664,2044,4062,6138,8116,10151,12263,14215,16207,18331,20253,762,1557,2351,3168,4018,4802,5597,6407,7258,8077
A7,555,1115,1644,2175,2741,3255,3777,4327,4862,5394,446,856,1336,1809,2235,2721,3178,3614,4094,4517,1632,3275,4898,6533,8204,9852,11482,13104,14686,16367,1218,2432,3623,4878,6131,7388,8650,9867,11063,12298,335,699,1044,1396,1724,2108,2469,2823,3159,3531,1108,2282,3377,4540,5645,6786,7879,8957,10121,11239,442,813,1185,1542,1937,2298,2696,3089,3462,3885,585,1143,1692,2238,2817,3402,3950,4508,5078,5623
A8,120,245,346,457,575,700,819,937,1068,1208,295,552,784,1057,1290,1546,1786,2063,2322,2579,246,484,694,933,1167,1426,1661,1898,2099,2321,66,131,184,259,311,364,430,489,568,627,85,190,278,389,480,570,687,783,875,982,186,405,580,762,933,1105,1262,1449,1645,1810,45,81,131,166,208,251,292,332,378,422,114,224,345,470,581,705,834,949,1067,1198
A9,2058,4257,6405,8461,10554,12689,14783,16915,19039,21075,3083,6291,9446,12631,15748,18898,21979,25092,28231,31396,3832,7562,11318,15017,18725,22558,26333,30024,33748,37427,1491,2947,4421,5920,7432,8894,10461,11942,13415,14856,3114,6303,9419,12592,15716,18904,22014,25202,28405,31534,2384,4798,7311,9936,12527,14909,17328,19767,22209,24693,1477,2915,4472,6001,7529,9076,10544,12021,13517,15023,1562,3079,4625,6240,7835,9410,10970,12584,14138,15670
A10,1175,2329,3442,4648,5846,7083,8323,9536,10722,11871,720,1437,2163,2925,3689,4406,5189,5914,6677,7410,671,1346,2040,2715,3390,4110,4800,5501,6163,6817,820,1578,2349,3189,3964,4760,5568,6363,7133,7901,1158,2283,3336,4429,5486,6520,7560,8620,9685,10833,917,1815,2747,3691,4682,5585,6544,7529,8474,9402,684,1347,1967,2606,3235,3891,4570,5223,5880,6526,865,1668,2442,3259,4065,4857,5669,6434,7248,8100
