,dim1,dim2,dim3,language
Ch_1,-30.005882,-22.583462,-35.369576,Chinese
Ch_2,-35.173035,-24.21858,-33.051983,Chinese
Ch_3,-37.5823,-27.222076,-28.823338,Chinese
Ch_4,-36.247124,-27.359438,-23.629656,Chinese
Ch_5,-36.29146,-22.691603,-25.602242,Chinese
Ch_6,-28.855062,-21.514915,-23.46531,Chinese
Ch_7,-25.497353,-20.567034,-28.068815,Chinese
Ch_8,-23.028147,-20.565098,-22.534853,Chinese
Ch_9,-24.5526,-25.91838,-24.905577,Chinese
Ch_10,-20.146154,-23.177214,-27.03334,Chinese
Du_1,-1.891399,-7.0409336,45.155872,Dutch
Du_2,-3.4233177,-1.4977949,43.884113,Dutch
Du_3,-0.18621846,1.5217495,47.182556,Dutch
Du_4,3.5656617,0.49939138,43.710068,Dutch
Du_5,7.5214796,3.0848901,46.9338,Dutch
Du_6,9.269351,-1.5692127,47.730427,Dutch
Du_7,15.42823,-1.2782028,47.58775,Dutch
Du_8,17.272182,-4.761702,43.496685,Dutch
Du_9,11.797402,-5.686941,43.045033,Dutch
Du_10,13.632598,-0.9135441,41.045345,Dutch
En_1,-20.359423,18.557398,-17.472534,English
En_2,-18.24629,18.62385,-11.489431,English
En_3,-13.979096,20.48987,-13.85236,English
En_4,-13.613712,15.194779,-13.911191,English
En_5,-10.081425,13.67994,-9.892377,English
En_6,-7.0104995,14.415281,-4.1064453,English
En_7,-2.5216033,14.20713,-0.64256454,English
En_8,-1.0644598,12.94671,-6.039805,English
En_9,-4.0139446,8.599468,-2.567292,English
En_10,-5.6474767,9.384563,-7.840437,English
Fi_1,24.00555,1.6437418,-44.29795,Finish
Fi_2,8.704409,-1.0230516,-47.85212,Finish
Fi_3,10.3482895,1.8566028,-51.346252,Finish
Fi_4,16.019852,0.07992878,-45.299015,Finish
Fi_5,18.493305,3.828576,-41.611256,Finish
Fi_6,16.774979,6.9509087,-45.84068,Finish
Fi_7,18.598928,9.964305,-41.293453,Finish
Fi_8,15.142559,13.15714,-38.578014,Finish
Fi_9,12.145054,9.268453,-40.766773,Finish
Fi_10,12.951422,13.726736,-44.445694,Finish
Fr_1,-46.661095,4.1392365,15.642333,French
Fr_2,-42.937595,6.850288,19.26931,French
Fr_3,-32.413387,4.7314076,21.547443,French
Fr_4,-37.99637,3.6974924,18.21658,French
Fr_5,-37.273937,0.66894877,22.791298,French
Fr_6,-34.333504,-3.8149898,22.129402,French
Fr_7,-39.289085,-5.693808,24.340567,French
Fr_8,-43.01981,-6.387464,19.924044,French
Fr_9,-38.690567,-10.244743,20.901814,French
Fr_10,-37.72638,-6.1565924,17.09723,French
It_1,7.6723514,-32.789955,13.520726,Italian
It_2,5.676622,-30.52583,8.464514,Italian
It_3,4.5198345,-33.971252,4.496963,Italian
It_4,-0.69148695,-35.520016,3.638209,Italian
It_5,-5.302052,-36.371567,5.6836624,Italian
It_6,-3.1811907,-41.740868,7.1090856,Italian
It_7,-5.109431,-41.361782,12.290273,Italian
It_8,0.7167895,-41.06923,12.3219595,Italian
It_9,-1.9345617,-40.961933,17.219997,Italian
It_10,-2.0747087,-36.01546,14.712111,Italian
Po_1,24.117342,46.63337,5.8564615,Portuguese
Po_2,23.387112,43.490307,1.0431576,Portuguese
Po_3,17.70151,46.379158,-0.7299306,Portuguese
Po_4,17.321253,42.218533,2.1435227,Portuguese
Po_5,13.276293,45.63654,5.4863544,Portuguese
Po_6,8.313051,46.812286,3.1316376,Portuguese
Po_7,9.409886,51.189007,6.0201917,Portuguese
Po_8,9.364219,47.70846,10.9324465,Portuguese
Po_9,3.9992456,48.905396,8.923849,Portuguese
Po_10,5.7103167,43.673405,8.773461,Portuguese
Sp_1,41.45343,-12.781852,12.198089,Spanish
Sp_2,44.887695,-14.2725315,7.81524,Spanish
Sp_3,45.843082,-8.890697,5.438145,Spanish
Sp_4,40.639687,-7.650757,4.6394134,Spanish
Sp_5,40.293068,-11.310472,0.42209798,Spanish
Sp_6,42.6558,-6.999441,-1.6119196,Spanish
Sp_7,37.940407,-4.627067,-4.085606,Spanish
Sp_8,40.81549,-7.147296,-8.380548,Spanish
Sp_9,35.935543,-9.651297,-7.125079,Spanish
Sp_10,35.507416,-4.919267,-10.116566,Spanish
